,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown,Daily_Return
650,2025-06-25,25103.012142181396,6514.911672592163,18588.100469589233,2462,25152.252095222473,-0.19576757124833968,0.2950979627791783
651,2025-06-26,25053.77218914032,6514.911672592163,18538.860516548157,2462,25152.252095222473,-0.39153514249667937,-0.19615157241762438
652,2025-06-27,25176.87148475647,6514.911672592163,18661.959812164307,2462,25176.87148475647,0.0,0.4913403645839365
653,2025-06-30,25103.012142181396,6514.911672592163,18588.100469589233,2462,25176.87148475647,-0.29336187627518356,-0.29336187627518884
654,2025-07-02,25226.111437797546,6514.911672592163,18711.199765205383,2462,25226.111437797546,0.0,0.49037659273287737
655,2025-07-03,25447.691813468933,6514.911672592163,18932.78014087677,2462,25447.691813468933,0.0,0.8783770586987094
656,2025-07-04,25201.49204826355,6514.911672592163,18686.580375671387,2462,25447.691813468933,-0.9674738558216699,-0.9674738558216656
657,2025-07-07,25201.49204826355,6514.911672592163,18686.580375671387,2462,25447.691813468933,-0.9674738558216699,0.0
658,2025-07-08,25029.15162563324,6514.911672592163,18514.239953041077,2462,25447.691813468933,-1.6447078615364585,-0.6838500764171362
659,2025-07-09,24782.951860427856,6514.911672592163,18268.040187835693,2462,25447.691813468933,-2.6121817173581285,-0.9836520585589592
660,2025-07-10,24955.291109085083,6514.911672592163,18440.37943649292,2462,25447.691813468933,-1.9349523249225797,0.6953943566843979
661,2025-07-11,25299.971954345703,6514.911672592163,18785.06028175354,2462,25447.691813468933,-0.5804843134930019,1.3811934461270825
662,2025-07-14,25743.131531715393,6514.911672592163,19228.21985912323,2462,25743.131531715393,0.0,1.7516208245976772
663,2025-07-15,25324.5913438797,6514.911672592163,18809.679671287537,2462,25743.131531715393,-1.6258324567858196,-1.625832456785825
664,2025-07-16,25546.171719551086,6514.911672592163,19031.260046958923,2462,25743.131531715393,-0.7650965537026965,0.8749613080131224
665,2025-07-17,25570.791109085083,6514.911672592163,19055.87943649292,2462,25743.131531715393,-0.669461764657449,0.0963721288820496
666,2025-07-18,26063.191813468933,6514.911672592163,19548.28014087677,2462,26063.191813468933,0.0,1.9256373503786728
667,2025-07-21,26604.831296920776,6514.911672592163,20089.919624328613,2462,26604.831296920776,0.0,2.0781778660430072
668,2025-07-22,26407.87148475647,6514.911672592163,19892.959812164307,2462,26604.831296920776,-0.7403159597824724,-0.7403159597824671
669,2025-07-23,26235.532236099243,6514.911672592163,19720.62056350708,2462,26604.831296920776,-1.3880902182765413,-0.6526056019195092
670,2025-07-24,26137.051156044006,6514.911672592163,19622.139483451843,2462,26604.831296920776,-1.7582526107989664,-0.37537290712833515
671,2025-07-25,26013.951860427856,6514.911672592163,19499.040187835693,2462,26604.831296920776,-2.2209478793474173,-0.47097622023700714
672,2025-07-28,26137.051156044006,6514.911672592163,19622.139483451843,2462,26604.831296920776,-1.7582526107989664,0.4732049028022045
673,2025-07-29,26457.11261177063,6514.911672592163,19942.200939178467,2462,26604.831296920776,-0.5552325572056657,1.224550749110076
674,2025-07-30,26334.012142181396,6514.911672592163,19819.100469589233,2462,26604.831296920776,-1.0179322383853053,-0.4652830843471012
